Academic Year,College/School,Division,Department,Major,Degree,Average GPA,Headcount
2015-16,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chem Eng/MSE Joint Major,Bachelor of Science,3.326533333,15
2015-16,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemical Biology,Bachelor of Science,3.229203704,54
2015-16,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,Bachelor of Science,3.398212766,47
2015-16,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,Bachelor of Arts,3.206423077,104
2015-16,Clg of Environmental Design,Clg of Environmental Design,City & Regional Planning,Urban Studies,Bachelor of Arts,3.339186047,43
2015-16,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Sustainable Environ Dsgn,Bachelor of Arts,3.406470588,17
2015-16,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,Bachelor of Arts,3.494222222,9
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Cognitive Science,Bachelor of Arts,3.163444444,261
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Political Economy,Bachelor of Arts,3.211544248,226
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Peace & Conflict Studies,Bachelor of Arts,3.506602941,68
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Development Studies,Bachelor of Arts,3.283146341,41
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Latin American Studies,Bachelor of Arts,3.51425,12
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - China,Bachelor of Arts,3.370555556,9
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies,Bachelor of Arts,3.4906,5
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Middle Eastern Studies,Bachelor of Arts,3.1812,5
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Economics,Economics,Bachelor of Arts,3.479923577,615
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Political Science,Political Science,Bachelor of Arts,3.409891008,367
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Psychology,Psychology,Bachelor of Arts,3.474454286,350
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Sociology,Sociology,Bachelor of Arts,3.352693548,248
2016-17,Clg of Letters & Science,L&S Social Sciences Division,History,History,Bachelor of Arts,3.52182069,145
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,Anthropology,Bachelor of Arts,3.47237234,94
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Linguistics,Linguistics,Bachelor of Arts,3.385140351,57
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Ethnic Studies,Bachelor of Arts,3.247870968,31
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Asian Am & Asian Diasp St,Bachelor of Arts,3.29025,8
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Chicano Studies,Bachelor of Arts,3.266833333,6
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Native American Studies,Bachelor of Arts,3.088666667,6
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Geography,Geography,Bachelor of Arts,3.424175,40
2016-17,Clg of Letters & Science,L&S Social Sciences Division,Gender & Womens Studies,Gender & Womens Studies,Bachelor of Arts,3.364944444,18
2016-17,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,African American Studies,Bachelor of Arts,3.219125,8
2016-17,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,Bachelor of Arts,3.376034111,557
2016-17,Clg of Letters & Science,L&S Administered Programs,L&S Public Health,L&S Public Health,Bachelor of Arts,3.49883945,218
2016-17,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,Bachelor of Arts,3.169454023,174
2016-17,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,Bachelor of Arts,3.295056738,141
2016-17,Clg of Letters & Science,L&S Administered Programs,L&S Ops Rsch & Mgmt Sci,L&S Ops Research & Mgmt Sci,Bachelor of Arts,3.666214286,14
2016-17,Clg of Letters & Science,L&S Administered Programs,L&S Envir Econ & Policy,L&S Environ Econ & Policy,Bachelor of Arts,2.869272727,11
2016-17,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,L&S Chemistry,Bachelor of Arts,3.2499,10
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,English,English,Bachelor of Arts,3.517592453,265
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,Philosophy,Bachelor of Arts,3.292613636,88
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,Rhetoric,Bachelor of Arts,3.420521739,69
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Film and Media,Film,Bachelor of Arts,3.323203704,54
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Art Practice,Art,Bachelor of Arts,3.669037736,53
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Theater & Perf Studies,Bachelor of Arts,3.564136364,44
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Dance & Perf Studies,Bachelor of Arts,3.507,8
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,History of Art,History of Art,Bachelor of Arts,3.55595122,41
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Spanish Lang & Lit,Bachelor of Arts,3.352733333,15
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Latin-Amer Lang & Lit,Bachelor of Arts,3.514818182,11
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Hisp Lang/Biling Iss,Bachelor of Arts,3.271777778,9
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Iberian Lang & Lit,Bachelor of Arts,3.6396,5
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,Music,Music,Bachelor of Arts,3.532025641,39
2016-17,Clg of Letters & Science,L&S Arts & Humanities Division,French,French,Bachelor of Arts,3.41144,25
